City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bamboo flat,11.7,92.7167,26.05,94,75,1.03,IN,1727209475
1,saipan,15.1355,145.701,27.39,94,75,3.09,MP,1727209446
2,adamstown,-25.066,-130.1015,19.5,69,85,6.25,PN,1727209477
3,luanda,-8.8368,13.2343,23.0,78,20,4.63,AO,1727209479
4,whitehorse,60.7161,-135.0538,9.43,66,100,8.23,CA,1727209480
5,yellowknife,62.456,-114.3525,9.12,92,100,4.12,CA,1727209481
6,coahuayana de hidalgo,18.7,-103.6583,31.61,67,85,2.65,MX,1727209482
7,edinburgh of the seven seas,-37.0676,-12.3116,11.86,76,11,4.0,SH,1727209483
8,olenegorsk,68.15,33.3,6.02,94,100,2.63,RU,1727209485
9,vorgashor,67.5833,63.95,0.04,88,99,11.2,RU,1727209486
10,ribeira grande,38.5167,-28.7,24.32,88,75,8.75,PT,1727209488
11,kingston,17.997,-76.7936,31.53,84,75,8.23,JM,1727209258
12,blackmans bay,-43.0167,147.3167,9.07,64,83,0.45,AU,1727209491
13,crane,31.3974,-102.3501,31.28,38,1,4.37,US,1727209492
14,manta,-0.95,-80.7333,27.88,65,20,4.12,EC,1727209493
15,papatowai,-46.5619,169.4708,7.24,73,90,4.19,NZ,1727209494
16,jamestown,42.097,-79.2353,16.68,92,100,3.6,US,1727209496
17,kigoma,-4.8769,29.6267,23.33,60,0,2.06,TZ,1727209497
18,lakatoro,-16.0999,167.4164,25.16,81,100,3.55,VU,1727209498
19,talnakh,69.4865,88.3972,3.39,87,77,2.69,RU,1727209499
20,hamilton,39.1834,-84.5333,24.38,91,75,5.14,US,1727209330
21,polyarnyy,69.1989,33.4478,7.31,87,100,8.91,RU,1727209502
22,igarka,67.4667,86.5833,1.83,97,100,5.56,RU,1727209503
23,puerto natales,-51.7236,-72.4875,3.25,60,75,8.75,CL,1727209504
24,vadso,70.0744,29.7487,9.09,87,75,8.23,NO,1727209506
25,grytviken,-54.2811,-36.5092,-0.87,68,45,3.67,GS,1727209507
26,ushuaia,-54.8,-68.3,-1.19,86,100,9.77,AR,1727209445
27,stanley,54.868,-1.6985,9.04,91,40,3.6,GB,1727209509
28,birjand,32.8663,59.2211,19.26,13,0,3.09,IR,1727209510
29,waitangi,-43.9535,-176.5597,7.12,86,22,4.92,NZ,1727209512
30,la passe,45.5549,-0.8967,16.5,92,0,4.47,FR,1727209513
31,west island,-12.1568,96.8225,25.99,94,75,6.17,CC,1727209514
